"","Var1","Freq"
"1","<U+0421><U+043B>",1
"2","0",3
"3","1",4
"4","18",1
"5","20",2
"6","21",1
"7","26",1
"8","28",12
"9","30",2
"10","32",1
"11","35",1
"12","37",3
"13","40",1
"14","41",2
"15","44",1
"16","45",1
"17","50",1
"18","62",1
"19","7",1
"20","70",3
"21","72",1
"22","78",1
"23","88",1
"24","90",1
"25","AB",12
"26","Ak",1
"27","AK",3
"28","AL",44
"29","Am",3
"30","Ar",19
"31","AR",17
"32","At",5
"33","Au",23
"34","AZ",21
"35","Ba",1
"36","BC",6
"37","Be",8
"38","Bl",4
"39","Bo",1
"40","Br",1
"41","Bu",2
"42","Ca",38
"43","CA",293
"44","Ce",3
"45","Ch",11
"46","Ci",1
"47","Cl",2
"48","Co",18
"49","CO",34
"50","Có",1
"51","Cr",1
"52","CT",12
"53","Cz",1
"54","DC",24
"55","De",4
"56","DE",8
"57","Ec",1
"58","Ex",1
"59","Fa",1
"60","Fi",3
"61","FL",98
"62","Fr",16
"63","GA",106
"64","Ge",14
"65","Gi",1
"66","Gl",3
"67","Gr",2
"68","Ha",1
"69","He",1
"70","Hi",1
"71","HI",1
"72","Ho",1
"73","IA",6
"74","ID",5
"75","Il",1
"76","IL",79
"77","IN",30
"78","Ir",9
"79","It",1
"80","Ja",2
"81","Je",4
"82","Ka",11
"83","Ke",2
"84","Kh",4
"85","Ki",2
"86","Ko",1
"87","KS",185
"88","KY",24
"89","La",5
"90","LA",55
"91","Le",1
"92","Lo",3
"93","Ma",12
"94","MA",47
"95","MB",4
"96","Mc",7
"97","MD",60
"98","Me",8
"99","ME",6
"100","Mi",7
"101","MI",40
"102","MN",22
"103","Mo",2
"104","MO",39
"105","MS",27
"106","MT",2
"107","Mu",1
"108","Na",4
"109","NC",71
"110","ND",2
"111","Ne",7
"112","NE",6
"113","NH",4
"114","Ni",2
"115","NJ",26
"116","NL",1
"117","NM",3
"118","No",23
"119","NV",20
"120","NY",184
"121","OH",68
"122","OK",62
"123","ON",47
"124","Op",1
"125","OR",39
"126","Pa",7
"127","PA",73
"128","Ph",1
"129","Po",22
"130","QC",5
"131","Re",3
"132","Ri",9
"133","RI",5
"134","Sa",2
"135","SC",37
"136","SD",5
"137","Se",21
"138","Sh",10
"139","SK",1
"140","St",10
"141","Sw",7
"142","Ta",6
"143","Te",2
"144","TN",47
"145","To",4
"146","Tu",2
"147","TX",353
"148","UK",98
"149","Un",1
"150","Ur",1
"151","US",180
"152","UT",10
"153","VA",51
"154","VT",2
"155","Wa",1
"156","WA",39
"157","Wi",2
"158","WI",13
"159","WV",10
"160","WY",4
"161","Xi",1
"162","Zo",2
